Nscore,Cases,Value,,,
12,1,-3.46436,,,
13,1,-3.15735,,,
14,7,-2.75696,,,
15,4,-2.52197,,,
16,3,-2.42317,,,
17,4,-2.3436,,,
18,10,-2.2184,,,
19,16,-2.0504,,,
20,24,-1.8696,,,
21,31,-1.6916,,,
22,26,-1.5507,,,
23,29,-1.439,,,
24,35,-1.3282,,,
25,56,-1.1943,,,
26,57,-1.053,,,
27,65,-0.921,,,
28,70,-0.7915,,,
29,60,-0.67825,,,
30,61,-0.58016,,,
31,87,-0.46725,,,
32,78,-0.34799,,,
33,68,-0.24649,,,
34,76,-0.14882,,,
4 35,6,9 -0.0518,,,
8 36,7,3 0.04257,,,
2 37,6,7 0.13606,,,
3 38,6,3 0.22393,,,
8 39,6,6 0.31287,,,
7 40,8,0 0.41667,,,
8 41,6,1 0.52135,,,
0 42,7,7 0.62967,,,
8 43,4,9 0.73545,,,
4 44,5,1 0.82562,,,
1 45,3,7 0.91093,,,
46,67,1.02119,,,
47,27,1.13281,,,
48,49,1.23461,,,
49,40,1.37297,,,
50,24,1.49158,,,
51,27,1.60383,,,
8 5,2 1,7 1.72012,,,
53,20,1.8399,,,
54,15,1.98437,,,
55,11,2.127,,,
56,10,2.28554,,,
57,6,2.46262,,,
58,3,2.61139,,,
59,5,2.82196,,,
60,2,3.27393,,,
